中文名,英文名,建议摄入量,不适宜人群,简介
吡咯并喹啉醌二钠盐,翻译暂缺,推荐食用量：≤20毫克/天,婴幼儿、孕妇和哺乳期妇女,暂无介绍
肠膜明串珠菌乳脂亚种,翻译暂缺,暂无数据,均适宜,肠膜明串珠菌乳脂亚种是Leuconostoc属的微生物，原产地为中国。
油莎豆,翻译暂缺,暂无数据,均适宜,油莎草（Cyperus esculentus var. sativus Boeckeler），是莎草科莎草属 多年生草本植物。油莎草根状茎多而细长，先端有膨大的块茎；杆直立，粗壮，光滑，茎圆筒形，由叶片包裹而成；叶片表面光滑柔软，叶鞘淡褐色；穗状花序呈圆柱形或稍扁平；小坚果矩圆形，灰褐色； 花期７月。
桃胶,Peach gum,推荐食用量：≤30 克/天,婴幼儿、孕妇和哺乳期妇女,桃胶，又名桃花泪 、桃树脂 ，是蔷薇科植物桃Prunus persica（L.）Batsch 或山桃Prunus davidiana（Carr.）Franch等树皮中分泌的红褐色或黄褐色树胶物质，其70%～80%的成分为桃胶多糖。 广义上讲，杏树、樱桃树等蔷薇科植物分泌的胶状物也可以叫桃胶。
氯化高铁血红素,翻译暂缺,1-3岁人群，每日用量最低值1.5mg（以Fe计），最高值7.0mg（以Fe计）；,均适宜,氯化血红素是天然血红素的体外纯化形式，一般都是从动物血液中分离，提纯出来的。血红素铁是纯天然的生物补铁剂， 具有生物利用度高、无体内铁蓄积中毒及胃肠刺激等不良反应等优点。专家试验证实，血红素铁在小肠内的吸收率高达25%～30%(非血红素铁约为3%～8%)，无任何副反应，且不受膳食及其它因素影响，是理想的补铁剂。因其可被开发为保健食品、饮料而越来越受到人们的青睐。同时血红素还是抗贫血和抗肿瘤药物的重要原材料，美国FDA已于1983年7月正式批准雅培公司的氯化血红素作为药品使用 。
二十二碳六烯酸油脂,翻译暂缺,成人，每日用量最低值200mg（以C,均适宜,暂无介绍
酪蛋白磷酸肽+钙,翻译暂缺,1-3岁人群，每日用量最低值120mg（以Ca计），最高值500mg（以Ca计）；,均适宜,暂无介绍
维生素K2（合成法）,翻译暂缺,4-6岁人群，每日用量最低值10μg（以七烯甲萘醌计），最高值60μg（以七烯甲萘醌计）；,均适宜,暂无介绍
大豆分离蛋白,SOY PROTEIN ISOLATE,蛋白质6-25g,少年儿童,大豆分离蛋白是在低温条件下将豆粕（除去油和水溶性非蛋白成分）放入碱性溶液中浸提，然后沉淀、洗涤、干燥得到蛋白含量大于 90%的蛋白粉，其结构和性质基本代替纯的大豆蛋白。 大豆分离蛋白氨基酸种类有近20种，并含有人体必需氨基酸。其营养丰富，不含胆固醇，是植物蛋白中为数不多的可替代动物蛋白的品种之一。
乳清蛋白,whey protein,蛋白质6-25g,少年儿童,乳清蛋白（whey protein）是从牛奶中提取的一种蛋白质，具有营养价值高、易消化吸收、含有多种活性成分等特点，是公认的人体优质蛋白质补充剂之一。
文冠果叶,翻译暂缺,推荐食用量：≤6克/天,婴幼儿、孕妇和哺乳期妇女,暂无介绍
文冠果种仁,翻译暂缺,暂无数据,婴幼儿、孕妇和哺乳期妇女,暂无介绍
鸡肉咪唑二肽粉（后更名为鸡肉浓缩粉）,翻译暂缺,暂无数据,均适宜,暂无介绍
枇杷叶,翻译暂缺,≤10克/天,均适宜,枇杷叶(学名：Eriobotrya japonica Thunb.)为蔷薇科植物枇杷的叶子。又名巴叶、芦桔叶（《中药材手册》）。有清肺止咳，和胃利尿，止渴的功效。有治疗肺热痰嗽，咳血，衄血，胃热呕哕作用。
